state,value
Alabama,517
Arizona,508
Arkansas,335
California,3899
Colorado,1430
Connecticut,1012
Delaware,130
Florida,2357
Georgia,1525
Idaho,146
Illinois,2538
Indiana,645
Iowa,179
Kansas,172
Kentucky,247
Louisiana,2304
Maine,155
Maryland,583
Massachusetts,2417
Michigan,2845
Minnesota,344
Mississippi,485
Missouri,520
Montana,90
Nebraska,74
Nevada,420
New Hampshire,137
New Jersey,6876
New Mexico,113
New York,37877
North Carolina,738
North Dakota,51
Ohio,868
Oklahoma,248
Oregon,316
Pennsylvania,1795
Rhode Island,165
South Carolina,424
South Dakota,46
Tennessee,1097
Texas,1563
Utah,396
Vermont,158
Virginia,466
Washington,3207
West Virginia,52
Wisconsin,728
Wyoming,53
